Fechamento,Abertura_Lag1,Máxima_Lag1,Mínima_Lag1,Volume_Lag1,Fechamento_Lag1,Abertura_Media5,Máxima_Media5,Mínima_Media5,Fechamento_Media5,Volume_Media5,Abertura_Media10,Máxima_Media10,Mínima_Media10,Fechamento_Media10,Volume_Media10,Abertura_Media15,Máxima_Media15,Mínima_Media15,Fechamento_Media15,Volume_Media15,Variação_Dia_Anterior_Lag1
,,,,,,,,,,,,,,,,,,,,,
1,137116.0,137130.0,135835.0,7727800.0,0.0,138096.6,138532.6,137128.0,0.2,8760240.0,137478.1,138328.2,136695.7,0.5,8412820.0,137230.4,138013.2,136371.86666666667,0.3333333333333333,8692773.333333334,565.0
1,137163.0,137163.0,135565.0,7705700.0,0.0,137062.6,137704.2,136045.0,0.4,8565960.0,137555.2,138289.8,136693.4,0.4,8290360.0,137136.8,137883.0,136268.6,0.4,8414986.666666666,1396.0
0,135767.0,137353.0,135756.0,8023300.0,1.0,136742.2,137402.2,135975.8,0.4,7557000.0,137553.8,138217.6,136722.8,0.3,8202350.0,137144.13333333333,137866.86666666667,136297.8,0.4,8198986.666666667,-1347.0
1,137113.0,137209.0,136469.0,6244500.0,0.0,136692.0,137796.8,136094.8,0.6,7547500.0,137460.3,138347.9,136707.2,0.4,8107550.0,137186.06666666668,138014.4,136353.06666666668,0.4666666666666667,8103053.333333333,247.0
1,136865.0,139103.0,136430.0,7680300.0,1.0,137152.6,138104.6,136615.0,0.6,7199900.0,137624.6,138318.6,136871.5,0.4,7980070.0,137369.6,138253.66666666666,136668.8,0.5333333333333333,8008513.333333333,-1990.0
0,138855.0,139695.0,138855.0,6345700.0,1.0,137637.2,138681.8,137178.8,0.6,7421140.0,137657.6,138373.8,136880.6,0.4,8023560.0,137627.6,138432.33333333334,136846.66666666666,0.4666666666666667,8050206.666666667,-694.0
1,139586.0,140049.0,138384.0,8811900.0,0.0,138294.0,139472.0,137837.8,0.6,7032920.0,137678.3,138588.1,136941.4,0.5,7799440.0,137801.46666666667,138683.86666666667,137074.86666666667,0.4666666666666667,7871213.333333333,535.0
1,139051.0,141304.0,139051.0,6082200.0,1.0,139057.0,140337.6,138663.4,0.8,6206880.0,137899.6,138869.9,137319.6,0.6,6881940.0,138054.86666666667,138924.26666666666,137369.66666666666,0.4666666666666667,7537193.333333333,-1877.0
0,140928.0,141537.0,140597.0,2114300.0,1.0,139937.0,140785.4,139236.4,0.6,5894280.0,138314.5,139291.1,137665.6,0.6,6720890.0,138285.86666666667,139160.4,137550.26666666666,0.4666666666666667,7369793.333333333,-550.0
0,141265.0,141342.0,139295.0,6117300.0,0.0,140064.2,140764.6,139219.4,0.4,5975160.0,138608.4,139434.6,137917.2,0.5,6587530.0,138437.8,139133.93333333332,137654.13333333333,0.4,7311766.666666667,1775.0
0,139491.0,139591.0,138770.0,6750100.0,0.0,140007.6,140621.0,139002.4,0.4,5729680.0,138822.4,139651.4,138090.6,0.5,6575410.0,138440.93333333332,139122.86666666667,137587.86666666667,0.4,7258933.333333333,188.0
0,139303.0,139331.0,137299.0,7584500.0,0.0,139691.8,139854.6,138395.2,0.2,6426480.0,138992.9,139663.3,138116.5,0.4,6729700.0,138349.46666666667,139010.26666666666,137426.0,0.4,7341786.666666667,1822.0
0,137472.0,137472.0,136015.0,9566200.0,0.0,138854.6,138895.6,137381.4,0.0,7484000.0,138955.8,139616.6,138022.4,0.4,6845440.0,138217.93333333332,138878.46666666667,137340.2,0.4,7082626.666666667,729.0
0,136742.0,136742.0,135528.0,7401900.0,0.0,137839.0,137864.6,136490.4,0.0,7725660.0,138888.0,139325.0,137863.4,0.3,6809970.0,138156.0,138815.6,137273.86666666667,0.4,7055813.333333333,555.0
0,136187.0,136187.0,134840.0,7325600.0,0.0,109940.8,109946.4,108736.4,0.0,6375640.0,125002.5,125355.5,123977.9,0.2,6175400.0,129052.53333333334,129605.2,128190.26666666666,0.3333333333333333,6516900.0,888.0
